"Back","Volver"
"Save","Guardar"
"Audit request have been registered.","La solicitud de auditoría ha sido registrada."
"Something went wrong while saving the audit request.","Algo salió mal al guardar la solicitud de auditoría."
"EasyAudit Report by Crealoz","Informe de EasyAudit por Crealoz"
"%1 modules configuration cannot be retrieved","No se puede recuperar la configuración de los módulos %1."
"Processor name is not set","El nombre del procesador no está establecido."
"Results are malformed for processor %1. Please check the processor implementation.","Los resultados están mal formados para el procesador %1. Por favor, verifique la implementación del procesador."
"Audit section is not set","La sección de auditoría no está definida."
"Plugin class must not be in the same module as the plugged in class","La clase del plugin no debe estar en el mismo módulo que la clase conectada."
"Plugin class must not be in the Magento Framework","La clase del plugin no debe estar en el framework de Magento."
"An around method should not contain $proceed as first statement","Un método around no debe contener $proceed como primera instrucción."
"An around method should not return $proceed as last statement","Un método around no debe devolver $proceed como última instrucción."
"The class %1 implements \Magento\Checkout\Model\ConfigProviderInterface. This is not allowed.","La clase %1 implementa \Magento\Checkout\Model\ConfigProviderInterface. Esto no está permitido."
"The module does not have an isEnabled or isActive method","El módulo no tiene un método isEnabled o isActive."
"Hard Written SQL SELECT","SELECT SQL escrito manualmente."
"SELECT queries must be avoided. Use the Magento Framework methods instead or a custom repository with a getList and/or getById methods.","Las consultas SELECT deben evitarse. Utilice los métodos del Framework de Magento o un repositorio personalizado con métodos getList y/o getById."
"Hard Written SQL DELETE","DELETE SQL escrito manualmente."
"DELETE queries must be avoided. Use the Magento Framework methods instead or a custom repository with a delete and/or deleteById methods.","Las consultas DELETE deben evitarse. Utilice los métodos del Framework de Magento o un repositorio personalizado con métodos delete y/o deleteById."
"Hard Written SQL UPDATE","UPDATE SQL escrito manualmente."
"UPDATE queries should be avoided. Use the Magento Framework methods instead or a custom repository with a save method. It can be faster for large amounts of data but it can lead to data loss in case of an update.","Las consultas UPDATE deben evitarse. Utilice los métodos del Framework de Magento o un repositorio personalizado con el método save. Puede ser más rápido para grandes cantidades de datos, pero puede conducir a la pérdida de datos en caso de una actualización."
"Hard Written SQL INSERT","INSERT SQL escrito manualmente."
"INSERT queries should be avoided. Use the Magento Framework methods instead or a custom repository with a save method. It can be faster for large amounts of data but it can lead to data loss in case of an update.","Las consultas INSERT deben evitarse. Utilice los métodos del Framework de Magento o un repositorio personalizado con el método save. Puede ser más rápido para grandes cantidades de datos, pero puede conducir a la pérdida de datos en caso de una actualización."
"Hard Written SQL JOIN","JOIN SQL escrito manualmente."
"JOIN queries should be avoided. Use the Magento Framework methods instead.","Las consultas JOIN deben evitarse. Utilice los métodos del Framework de Magento."
"Use of cacheable=""false"" in layout XML","Uso de cacheable=""false"" en el XML de diseño"
"Cacheable=""false"" is not recommended for dynamic blocks and should be avoided. If you need to use cacheable=""false"" for a block, make sure it is necessary and that the block should not be cached (e.g. : Customer Section, sales...).","No se recomienda usar cacheable=""false"" para bloques dinámicos y debería evitarse. Si necesita usar cacheable=""false"" para un bloque, asegúrese de que sea necesario y que el bloque no deba ser almacenado en caché (por ejemplo: sección de clientes, ventas...)."
"Unused Modules","Módulos no utilizados"
"The following modules are not active. Consider removing them.","Los siguientes módulos no están activos. Considere eliminarlos."
"Same Module Plugin","Plugin del mismo módulo"
"Plugin class must not be in the same module as the plugged in class.","La clase del plugin no debe estar en el mismo módulo que la clase conectada."
"Block vs ViewModel Ratio","Relación entre Bloque y ViewModel"
"The ratio of Block files to ViewModel files is too high. This can be a sign of poor code organization.","La proporción de archivos de Bloque a archivos de ViewModel es demasiado alta. Esto puede ser un signo de una mala organización del código."
"Easy Audit","Easy Audit"
"General Information","Información general"
"Audit Scope","Alcance de la auditoría"
"Run all audits","Ejecutar todas las auditorías"
"Audit Types","Tipos de auditoría"
"Request new audit","Solicitar nueva auditoría"
"Request ID","ID de solicitud"
"Customer ID","ID del cliente"
"Execution time","Tiempo de ejecución"
