"Back", "Voltar"
"Request Audit","Solicitar Auditoria"
"File not found","Ficheiro não encontrado"
"An error occurred while downloading the file.","Ocorreu um erro ao transferir o ficheiro."
"Audit request have been registered.","O pedido de auditoria foi registado."
"Something went wrong while saving the audit request.","Ocorreu um erro ao guardar o pedido de auditoria."
"The module %1 is ignored during the audit","O módulo %1 é ignorado durante a auditoria."
"Results are malformed for processor %1. Please check the processor implementation.","Os resultados estão malformados para o processador %1. Por favor, verifique a implementação do processador."
"Block vs ViewModel Ratio","Rácio Block vs ViewModel"
"PHP","PHP"
"The ratio of Block files to ViewModel files is too high. This can be a sign of poor code organization.","O rácio de ficheiros Block para ViewModel é demasiado alto. Isto pode indicar uma má organização do código."
"Hard Written SQL","SQL Escrito Manualmente"
"Hard Written SQL SELECT","SQL SELECT Escrito Manualmente"
"SELECT queries must be avoided. Use the Magento Framework methods instead or a custom repository with getList and/or getById methods.","As consultas SELECT devem ser evitadas. Use os métodos do Framework Magento ou um repositório personalizado com os métodos getList e/ou getById."
"Hard Written SQL DELETE","SQL DELETE Escrito Manualmente"
"DELETE queries must be avoided. Use the Magento Framework methods instead or a custom repository with delete and/or deleteById methods.","As consultas DELETE devem ser evitadas. Use os métodos do Framework Magento ou um repositório personalizado com os métodos delete e/ou deleteById."
"Hard Written SQL UPDATE","SQL UPDATE Escrito Manualmente"
"UPDATE queries should be avoided. Use the Magento Framework methods instead or a custom repository with a save method. It can be faster for large amounts of data but it can lead to data loss in case of an update.","As consultas UPDATE devem ser evitadas. Use os métodos do Framework Magento ou um repositório personalizado com um método save. Pode ser mais rápido para grandes quantidades de dados, mas pode levar a perda de dados em caso de atualização."
"Hard Written SQL INSERT","SQL INSERT Escrito Manualmente"
"INSERT queries should be avoided. Use the Magento Framework methods instead or a custom repository with a save method. It can be faster for large amounts of data but it can lead to data loss in case of an update.","As consultas INSERT devem ser evitadas. Use os métodos do Framework Magento ou um repositório personalizado com um método save. Pode ser mais rápido para grandes quantidades de dados, mas pode levar a perda de dados em caso de atualização."
"Hard Written SQL JOIN","SQL JOIN Escrito Manualmente"
"JOIN queries should be avoided. Use the Magento Framework methods instead.","As consultas JOIN devem ser evitadas. Use os métodos do Framework Magento."
"Collection Must Use Factory","A coleção deve usar uma fábrica"
"A collection must not be injected in constructor as a specific class. When a collection is needed, a factory of it must be injected and used.","Uma coleção não deve ser injetada no construtor como uma classe específica. Quando for necessária uma coleção, deve ser injetada e utilizada uma fábrica."
"Repository Must Use Interface","O repositório deve usar uma interface"
"A repository must not be injected in constructor as a specific class. When a repository is needed, an interface of it must be injected and used.","Um repositório não deve ser injetado no construtor como uma classe específica. Quando for necessário um repositório, deve ser injetada e utilizada uma interface."
"Specific Model Injection","Injeção de Modelo Específico"
"The classes below seem to implement an API interface. It is recommended to inject the interface instead of the class to prevent preferences to be ignored and respect the coding standards.","As classes abaixo parecem implementar uma interface API. Recomenda-se injetar a interface em vez da classe para evitar que as preferências sejam ignoradas e respeitar os padrões de codificação."
"Specific Class Injection","Injeção de Classe Específica"
"A class should not be injected in constructor as a specific class. In most of the cases, a factory, a builder or an interface should be used. This automatic scan can not be 100% accurate, please verify manually.","Uma classe não deve ser injetada no construtor como uma classe específica. Na maioria dos casos, deve ser utilizada uma fábrica, um builder ou uma interface. Esta análise automática não pode ser 100% precisa; por favor, verifique manualmente."
"Resource Model Injection","Injeção de Modelo de Recurso"
"A resource model must not be injected in constructor as a specific class. When a resource model is needed, a repository of it must be injected and used. It assures a better separation of concerns, a better code quality and improves the code maintainability.","Um modelo de recurso não deve ser injetado no construtor como uma classe específica. Quando for necessário um modelo de recurso, deve ser injetado e utilizado um repositório. Isso garante uma melhor separação de responsabilidades, melhor qualidade do código e melhora a sua manutenção."
"Use of Registry","Uso do Registro"
"The use of the Registry is deprecated. Use dependency injection or data persistors instead.","O uso do Registro está obsoleto. Use injeção de dependências ou persistência de dados em vez disso."
"Plugins","Plugins"
"Dependency Injection (DI)","Injeção de Dependências (DI)"
"Same Module Plugin","Plugin no Mesmo Módulo"
"Plugin class must not be in the same module as the plugged in class.","A classe do plugin não deve estar no mesmo módulo que a classe ligada."
"Magento Framework Plugin","Plugin do Framework Magento"
"Plugged in class must not be in the Magento Framework. They are called several times and can lead to performance issues.","A classe ligada não deve estar no Framework Magento. Elas são chamadas várias vezes e podem causar problemas de desempenho."
"Config Provider Plugin","Plugin do Fornecedor de Configuração"
"Plugin class must not be plugged on any of the config provider classes. You must define a config provider to do any modifications on the configuration.","A classe do plugin não deve ser conectada a nenhuma das classes do fornecedor de configuração. Deve definir um fornecedor de configuração para fazer alterações na configuração."
"Non-existent Plugin File","Ficheiro de Plugin Inexistente"
"Plugin file does not exist.","O ficheiro do plugin não existe."
"Insufficient Permissions","Permissões Insuficientes"
"Insufficient permissions to read file.","Permissões insuficientes para ler o ficheiro."
"Around to Before Plugin","De Around para Before Plugin"
"Around plugin should be a before plugin. Around plugins drastically decrease performances of the website and should be reserved to really specific cases.","O plugin Around deve ser um Before plugin. Plugins Around diminuem drasticamente o desempenho do website e devem ser reservados para casos muito específicos."
"Around to After Plugin","De Around para After Plugin"
"Around plugin should be an after plugin. Around plugins drastically decrease performances of the website and should be reserved to really specific cases.","O plugin Around deve ser um After plugin. Plugins Around diminuem drasticamente o desempenho do website e devem ser reservados para casos muito específicos."
"Plugin class must not be in the same module as the plugged in class","A classe do plugin não deve estar no mesmo módulo que a classe ligada."
"Plugin class must not be in the Magento Framework","A classe do plugin não deve estar no Framework Magento."
"An around method should not contain $proceed as first statement","Um método Around não deve conter $proceed como primeira instrução."
"An around method should not return $proceed as last statement","Um método Around não deve retornar $proceed como última instrução."
"The class %1 implements \Magento\Checkout\Model\ConfigProviderInterface. This is not allowed.","A classe %1 implementa \Magento\Checkout\Model\ConfigProviderInterface. Isso não é permitido."
"The module does not have an isEnabled or isActive method","O módulo não possui um método isEnabled ou isActive."
"Logic","Lógica"
"Unused Modules","Módulos Não Utilizados"
"The following modules are not active. Consider removing them.","Os seguintes módulos não estão ativos. Considere removê-los."
"Cacheable","Cacheável"
"Views","Vistas"
"Use of cacheable=\"false\" in layout XML","Uso de cacheable=\"false\" no XML de layout"
"Cacheable=\"false\" is not recommended for dynamic blocks and should be avoided. If you need to use cacheable=\"false\" for a block, make sure it is necessary and that the block should not be cached (e.g. : Customer Section, sales...).","Cacheable=\"false\" não é recomendado para blocos dinâmicos e deve ser evitado. Se precisar usar cacheable=\"false\" para um bloco, certifique-se de que seja necessário e que o bloco não deva ser armazenado em cache (ex.: Seção do Cliente, vendas...)."
"%1 files have a score equal to or higher than 10. These files must have really bad design pattern and/or not follow coding standards. Please check them with high priority.","%1 ficheiros têm uma pontuação igual ou superior a 10. Estes ficheiros devem ter padrões de design muito ruins e/ou não seguem os padrões de codificação. Por favor, verifique-os com alta prioridade."
"Beside that, %1 files have a score equal to or higher than 5. These files must be checked with medium priority.","Além disso, %1 ficheiros têm uma pontuação igual ou superior a 5. Estes ficheiros devem ser verificados com prioridade média."
"Invalid filename %1","Nome de ficheiro inválido %1"
"Starting audit service...","Iniciando o serviço de auditoria..."
"Audit service has been run successfully.","O serviço de auditoria foi executado com sucesso."
"Congratulations! No errors found.","Parabéns! Não foram encontrados erros."
"Error while creating or reading the PDF file: %1","Erro ao criar ou ler o ficheiro PDF: %1"
"Error while generating the PDF definition: %1","Erro ao gerar a definição do PDF: %1"
"Crealoz can help you to understand or to deepen the analysis of your codebase. We can provide you with a professional audit of your Magento 2 codebase. You can find more information on our website: https://www.crealoz.fr/un-projet/","A Crealoz pode ajudá-lo a compreender ou aprofundar a análise da sua base de código. Podemos fornecer uma auditoria profissional da sua base de código Magento 2. Pode encontrar mais informações no nosso website: https://www.crealoz.fr/un-projet/"
"If you want to go further, you can use EasyAudit Premium, a paid version of EasyAudit that provides more features and more in-depth analysis. You can find more information on our website: https://www.crealoz.fr/crealoz-easy-audit/","Se quiser ir mais longe, pode utilizar o EasyAudit Premium, uma versão paga do EasyAudit que oferece mais funcionalidades e uma análise mais aprofundada. Pode encontrar mais informações no nosso website: https://www.crealoz.fr/crealoz-easy-audit/"
"This audit has been generated by EasyAudit, a tool developed by Crealoz. It is a free tool that helps you to audit your Magento 2 codebase. It is not a replacement for a professional audit. It is a tool that helps you to identify potential issues in your codebase. It is recommended to use this tool in conjunction with a professional audit.","Esta auditoria foi gerada pelo EasyAudit, uma ferramenta desenvolvida pela Crealoz. É uma ferramenta gratuita que ajuda a auditar a sua base de código Magento 2. Não é um substituto para uma auditoria profissional. É uma ferramenta que ajuda a identificar problemas potenciais na sua base de código. Recomenda-se utilizar esta ferramenta em conjunto com uma auditoria profissional."
"The file %1 is a registration file","O ficheiro %1 é um ficheiro de registo."
"The file %1 is not in app/code or vendor","O ficheiro %1 não está em app/code ou vendor."
"The file %1 does not contain a namespace %2","O ficheiro %1 não contém um namespace %2."
"The file %1 does not contain a class named %2","O ficheiro %1 não contém uma classe chamada %2."
"File not found: %1","Ficheiro não encontrado: %1"
"File path is empty","O caminho do ficheiro está vazio"
"EasyAudit Report by Crealoz","Relatório EasyAudit da Crealoz"
"See annexe %1 for more details.","Consulte o anexo %1 para mais detalhes."
"Modules:","Módulos:"
"-%1(ratio : %2)","-%1 (rácio: %2)"
"- %1 (potential issues count : %2)","- %1 (número de problemas potenciais: %2)"
"Easy Audit","Easy Audit"
"General Information","Informações Gerais"
"Audit Scope","Âmbito da Auditoria"
"Languages","Idiomas"
"Request new audit","Solicitar nova auditoria"
"Request ID","ID da solicitação"
"Customer ID","ID do cliente"
"Request time","Hora da solicitação"
"Execution time","Tempo de execução"
"Filename","Nome do ficheiro"
