"Back", "返回"
"Request Audit","请求审计"
"File not found","未找到文件"
"An error occurred while downloading the file.","下载文件时发生错误。"
"Audit request have been registered.","审计请求已注册。"
"Something went wrong while saving the audit request.","保存审计请求时出了问题。"
"The module %1 is ignored during the audit","模块 %1 在审计过程中被忽略。"
"Results are malformed for processor %1. Please check the processor implementation.","处理器 %1 的结果格式错误。请检查处理器的实现。"
"Block vs ViewModel Ratio","Block 与 ViewModel 的比例"
"PHP","PHP"
"The ratio of Block files to ViewModel files is too high. This can be a sign of poor code organization.","Block 文件与 ViewModel 文件的比例过高。这可能表明代码组织不佳。"
"Hard Written SQL","手写 SQL"
"Hard Written SQL SELECT","手写 SQL SELECT"
"SELECT queries must be avoided. Use the Magento Framework methods instead or a custom repository with getList and/or getById methods.","应避免使用 SELECT 查询。请改用 Magento 框架方法或自定义存储库的 getList 和/或 getById 方法。"
"Hard Written SQL DELETE","手写 SQL DELETE"
"DELETE queries must be avoided. Use the Magento Framework methods instead or a custom repository with delete and/or deleteById methods.","应避免使用 DELETE 查询。请改用 Magento 框架方法或自定义存储库的 delete 和/或 deleteById 方法。"
"Hard Written SQL UPDATE","手写 SQL UPDATE"
"UPDATE queries should be avoided. Use the Magento Framework methods instead or a custom repository with a save method. It can be faster for large amounts of data but it can lead to data loss in case of an update.","应避免使用 UPDATE 查询。请改用 Magento 框架方法或自定义存储库的 save 方法。这对于大量数据可能更快，但在更新时可能导致数据丢失。"
"Hard Written SQL INSERT","手写 SQL INSERT"
"INSERT queries should be avoided. Use the Magento Framework methods instead or a custom repository with a save method. It can be faster for large amounts of data but it can lead to data loss in case of an update.","应避免使用 INSERT 查询。请改用 Magento 框架方法或自定义存储库的 save 方法。这对于大量数据可能更快，但在更新时可能导致数据丢失。"
"Hard Written SQL JOIN","手写 SQL JOIN"
"JOIN queries should be avoided. Use the Magento Framework methods instead.","应避免使用 JOIN 查询。请改用 Magento 框架方法。"
"Collection Must Use Factory","集合必须使用工厂方法"
"A collection must not be injected in constructor as a specific class. When a collection is needed, a factory of it must be injected and used.","集合不能作为特定类注入到构造函数中。当需要集合时，必须注入并使用其工厂。"
"Repository Must Use Interface","存储库必须使用接口"
"A repository must not be injected in constructor as a specific class. When a repository is needed, an interface of it must be injected and used.","存储库不能作为特定类注入到构造函数中。当需要存储库时，必须注入并使用其接口。"
"Specific Model Injection","特定模型注入"
"The classes below seem to implement an API interface. It is recommended to inject the interface instead of the class to prevent preferences to be ignored and respect the coding standards.","以下类似乎实现了 API 接口。建议注入接口而不是类，以防止首选项被忽略并遵循编码标准。"
"Specific Class Injection","特定类注入"
"A class should not be injected in constructor as a specific class. In most of the cases, a factory, a builder or an interface should be used. This automatic scan can not be 100% accurate, please verify manually.","类不应作为特定类注入到构造函数中。在大多数情况下，应使用工厂、构建器或接口。此自动扫描无法 100% 准确，请手动验证。"
"Resource Model Injection","资源模型注入"
"A resource model must not be injected in constructor as a specific class. When a resource model is needed, a repository of it must be injected and used. It assures a better separation of concerns, a better code quality and improves the code maintainability.","资源模型不能作为特定类注入到构造函数中。当需要资源模型时，必须注入并使用其存储库。这确保了更好的关注点分离、更好的代码质量并提高了代码的可维护性。"
"Use of Registry","使用注册表"
"The use of the Registry is deprecated. Use dependency injection or data persistors instead.","注册表的使用已被弃用。请改用依赖注入或数据持久器。"
"Plugins","插件"
"Dependency Injection (DI)","依赖注入 (DI)"
"Same Module Plugin","同模块插件"
"Plugin class must not be in the same module as the plugged in class.","插件类不能与插入类位于同一模块中。"
"Magento Framework Plugin","Magento 框架插件"
"Plugged in class must not be in the Magento Framework. They are called several times and can lead to performance issues.","插入的类不能在 Magento 框架中。它们会被多次调用，可能导致性能问题。"
"Config Provider Plugin","配置提供者插件"
"Plugin class must not be plugged on any of the config provider classes. You must define a config provider to do any modifications on the configuration.","插件类不能连接到任何配置提供者类。您必须定义一个配置提供者来进行任何配置修改。"
"Non-existent Plugin File","插件文件不存在"
